"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010-01","Canada","2021A000011124","Persons","249","units","0","v1","1","33809016","","","","0"
"2010-04","Canada","2021A000011124","Persons","249","units","0","v1","1","33890461","","","","0"
"2010-07","Canada","2021A000011124","Persons","249","units","0","v1","1","34005902","","","","0"
"2010-10","Canada","2021A000011124","Persons","249","units","0","v1","1","34132531","","","","0"
"2011-01","Canada","2021A000011124","Persons","249","units","0","v1","1","34166633","","","","0"
"2011-04","Canada","2021A000011124","Persons","249","units","0","v1","1","34230555","","","","0"
"2011-07","Canada","2021A000011124","Persons","249","units","0","v1","1","34339221","","","","0"
"2011-10","Canada","2021A000011124","Persons","249","units","0","v1","1","34457713","","","","0"
"2012-01","Canada","2021A000011124","Persons","249","units","0","v1","1","34516032","","","","0"
"2012-04","Canada","2021A000011124","Persons","249","units","0","v1","1","34592192","","","","0"
"2012-07","Canada","2021A000011124","Persons","249","units","0","v1","1","34713395","","","","0"
"2012-10","Canada","2021A000011124","Persons","249","units","0","v1","1","34834973","","","","0"
"2013-01","Canada","2021A000011124","Persons","249","units","0","v1","1","34881794","","","","0"
"2013-04","Canada","2021A000011124","Persons","249","units","0","v1","1","34956567","","","","0"
"2013-07","Canada","2021A000011124","Persons","249","units","0","v1","1","35080992","","","","0"
"2013-10","Canada","2021A000011124","Persons","249","units","0","v1","1","35209597","","","","0"
"2014-01","Canada","2021A000011124","Persons","249","units","0","v1","1","35247023","","","","0"
"2014-04","Canada","2021A000011124","Persons","249","units","0","v1","1","35320540","","","","0"
"2014-07","Canada","2021A000011124","Persons","249","units","0","v1","1","35434066","","","","0"
"2014-10","Canada","2021A000011124","Persons","249","units","0","v1","1","35555305","","","","0"
"2015-01","Canada","2021A000011124","Persons","249","units","0","v1","1","35571043","","","","0"
"2015-04","Canada","2021A000011124","Persons","249","units","0","v1","1","35606734","","","","0"
"2015-07","Canada","2021A000011124","Persons","249","units","0","v1","1","35704498","","","","0"
"2015-10","Canada","2021A000011124","Persons","249","units","0","v1","1","35823591","","","","0"
"2016-01","Canada","2021A000011124","Persons","249","units","0","v1","1","35871484","","","","0"
"2016-04","Canada","2021A000011124","Persons","249","units","0","v1","1","35970407","","","","0"
"2016-07","Canada","2021A000011124","Persons","249","units","0","v1","1","36110803","","","","0"
"2016-10","Canada","2021A000011124","Persons","249","units","0","v1","1","36257421","","","","0"
"2017-01","Canada","2021A000011124","Persons","249","units","0","v1","1","36313068","","","","0"
"2017-04","Canada","2021A000011124","Persons","249","units","0","v1","1","36397141","","","","0"
"2017-07","Canada","2021A000011124","Persons","249","units","0","v1","1","36545075","","","","0"
"2017-10","Canada","2021A000011124","Persons","249","units","0","v1","1","36722075","","","","0"
"2018-01","Canada","2021A000011124","Persons","249","units","0","v1","1","36801579","","","","0"
"2018-04","Canada","2021A000011124","Persons","249","units","0","v1","1","36903671","","","","0"
"2018-07","Canada","2021A000011124","Persons","249","units","0","v1","1","37072620","","","","0"
"2018-10","Canada","2021A000011124","Persons","249","units","0","v1","1","37259485","","","","0"
"2019-01","Canada","2021A000011124","Persons","249","units","0","v1","1","37336956","","","","0"
"2019-04","Canada","2021A000011124","Persons","249","units","0","v1","1","37437243","","","","0"
"2019-07","Canada","2021A000011124","Persons","249","units","0","v1","1","37618495","","","","0"
"2019-10","Canada","2021A000011124","Persons","249","units","0","v1","1","37828162","","","","0"
"2020-01","Canada","2021A000011124","Persons","249","units","0","v1","1","37928208","","","","0"
"2020-04","Canada","2021A000011124","Persons","249","units","0","v1","1","38006941","","","","0"
"2020-07","Canada","2021A000011124","Persons","249","units","0","v1","1","38028638","","","","0"
"2020-10","Canada","2021A000011124","Persons","249","units","0","v1","1","38027406","","","","0"
"2021-01","Canada","2021A000011124","Persons","249","units","0","v1","1","38058291","","","","0"
"2021-04","Canada","2021A000011124","Persons","249","units","0","v1","1","38140918","","","","0"
"2021-07","Canada","2021A000011124","Persons","249","units","0","v1","1","38239864","","","","0"
"2021-10","Canada","2021A000011124","Persons","249","units","0","v1","1","38460257","","","","0"
"2022-01","Canada","2021A000011124","Persons","249","units","0","v1","1","38565380","","","","0"
"2022-04","Canada","2021A000011124","Persons","249","units","0","v1","1","38693009","","","","0"
"2022-07","Canada","2021A000011124","Persons","249","units","0","v1","1","38950132","","","","0"
"2022-10","Canada","2021A000011124","Persons","249","units","0","v1","1","39284491","","","","0"
"2023-01","Canada","2021A000011124","Persons","249","units","0","v1","1","39501329","","","","0"
"2023-04","Canada","2021A000011124","Persons","249","units","0","v1","1","39727297","","","","0"
"2023-07","Canada","2021A000011124","Persons","249","units","0","v1","1","40049088","","","","0"
"2023-10","Canada","2021A000011124","Persons","249","units","0","v1","1","40467722","","","","0"
"2024-01","Canada","2021A000011124","Persons","249","units","0","v1","1","40724526","","","","0"
"2024-04","Canada","2021A000011124","Persons","249","units","0","v1","1","40990297","","","","0"
"2024-07","Canada","2021A000011124","Persons","249","units","0","v1","1","41262329","","","","0"
"2024-10","Canada","2021A000011124","Persons","249","units","0","v1","1","41494132","","","","0"
"2025-01","Canada","2021A000011124","Persons","249","units","0","v1","1","41574517","","","","0"
"2025-04","Canada","2021A000011124","Persons","249","units","0","v1","1","41604555","","","","0"
"2025-07","Canada","2021A000011124","Persons","249","units","0","v1","1","41651653","","","","0"


