"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010-01","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","121.8","","","","1"
"2010-02","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","121.8","","","","1"
"2010-03","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","121.7","","","","1"
"2010-04","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","122.4","","","","1"
"2010-05","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","123.0","","","","1"
"2010-06","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","123.3","","","","1"
"2010-07","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","124.3","","","","1"
"2010-08","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","124.0","","","","1"
"2010-09","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","123.9","","","","1"
"2010-10","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","124.6","","","","1"
"2010-11","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","124.4","","","","1"
"2010-12","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","124.6","","","","1"
"2011-01","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","124.5","","","","1"
"2011-02","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","124.5","","","","1"
"2011-03","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","124.6","","","","1"
"2011-04","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","125.2","","","","1"
"2011-05","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","125.2","","","","1"
"2011-06","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","125.4","","","","1"
"2011-07","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","125.9","","","","1"
"2011-08","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","126.2","","","","1"
"2011-09","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","125.7","","","","1"
"2011-10","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","126.5","","","","1"
"2011-11","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","126.3","","","","1"
"2011-12","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","126.8","","","","1"
"2012-01","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","127.1","","","","1"
"2012-02","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","126.9","","","","1"
"2012-03","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","126.6","","","","1"
"2012-04","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","126.6","","","","1"
"2012-05","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","126.7","","","","1"
"2012-06","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","127.0","","","","1"
"2012-07","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","127.2","","","","1"
"2012-08","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","127.4","","","","1"
"2012-09","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","127.2","","","","1"
"2012-10","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","127.6","","","","1"
"2012-11","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","127.5","","","","1"
"2012-12","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","127.5","","","","1"
"2013-01","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","127.8","","","","1"
"2013-02","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","127.9","","","","1"
"2013-03","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","128.0","","","","1"
"2013-04","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","128.2","","","","1"
"2013-05","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","128.3","","","","1"
"2013-06","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","128.5","","","","1"
"2013-07","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","128.8","","","","1"
"2013-08","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","128.8","","","","1"
"2013-09","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","129.0","","","","1"
"2013-10","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","129.2","","","","1"
"2013-11","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","129.8","","","","1"
